W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
1.985,0.37,-0.458925233,0.0635,0.0114,0.251482655,0.045148067,CLAS phi
1.985,0.42,-0.446300108,0.0781,0.0122,0.309303864,0.048316353,CLAS phi
1.985,0.47,-0.433674982,0.0812,0.0138,0.32158097,0.054652923,CLAS phi
1.985,0.53,-0.418524832,0.0943,0.0142,0.373461644,0.056237066,CLAS phi
1.985,0.57,-0.408424732,0.0765,0.0128,0.302967293,0.050692567,CLAS phi
1.985,0.62,-0.395799607,0.0819,0.0134,0.32435322,0.053068781,CLAS phi
1.985,0.67,-0.383174482,0.1159,0.018,0.45900535,0.071286422,CLAS phi
1.985,0.72,-0.370549357,0.0991,0.0201,0.392471356,0.079603171,CLAS phi
1.985,0.78,-0.355399206,0.0662,0.0235,0.262175619,0.093068384,CLAS phi
1.985,0.82,-0.345299106,0.0852,0.0547,0.337422397,0.216631516,CLAS phi
1.985,-0.4,-0.65335216,0.0885,0.0263,0.350491575,0.104157383,CLAS phi
1.985,-0.3,-0.62810191,0.0872,0.0165,0.345343111,0.065345887,CLAS phi
1.985,-0.2,-0.60285166,0.0541,0.0103,0.214255302,0.040791675,CLAS phi
1.985,-0.1,-0.577601409,0.0687,0.01,0.27207651,0.039603568,CLAS phi
1.985,0,-0.552351159,0.0575,0.0083,0.227720515,0.032870961,CLAS phi
1.985,0.1,-0.527100909,0.088,0.0109,0.348511396,0.043167889,CLAS phi
1.985,0.2,-0.501850658,0.063,0.0082,0.249502477,0.032474926,CLAS phi
1.985,0.3,-0.476600408,0.08,0.0092,0.316828542,0.036435282,CLAS phi
1.995,0.37,-0.462199965,0.081,0.0115,0.271889121,0.038601542,CLAS phi
1.995,0.42,-0.447304187,0.0947,0.012,0.317875305,0.04027987,CLAS phi
1.995,0.47,-0.432408409,0.1064,0.0133,0.357148178,0.044643522,CLAS phi
1.995,0.53,-0.414533475,0.11,0.0135,0.369232139,0.045314853,CLAS phi
1.995,0.57,-0.402616853,0.1194,0.0141,0.400784704,0.047328847,CLAS phi
1.995,0.62,-0.387721075,0.1149,0.0137,0.385679753,0.045986185,CLAS phi
1.995,0.67,-0.372825297,0.1065,0.0129,0.357483844,0.04330086,CLAS phi
1.995,0.72,-0.357929519,0.1138,0.0144,0.381987431,0.048335844,CLAS phi
1.995,0.78,-0.340054585,0.1227,0.0162,0.411861668,0.054377824,CLAS phi
1.995,0.82,-0.328137963,0.1184,0.0198,0.397428048,0.066461785,CLAS phi
1.995,0.87,-0.313242184,0.1532,0.0546,0.51423967,0.183273407,CLAS phi
1.995,-0.5,-0.721386503,0.0478,0.0178,0.160448148,0.059748473,CLAS phi
1.995,-0.4,-0.691594947,0.0551,0.0112,0.184951735,0.037594545,CLAS phi
1.995,-0.3,-0.661803391,0.0622,0.0098,0.208783991,0.032895227,CLAS phi
1.995,-0.2,-0.632011835,0.0533,0.0078,0.178909755,0.026181915,CLAS phi
1.995,-0.1,-0.602220279,0.0619,0.0095,0.207776995,0.03188823,CLAS phi
1.995,0,-0.572428723,0.0822,0.009,0.275917108,0.030209902,CLAS phi
1.995,0.1,-0.542637167,0.0705,0.008,0.236644235,0.026853246,CLAS phi
1.995,0.2,-0.51284561,0.0905,0.0093,0.303777351,0.031216899,CLAS phi
1.995,0.3,-0.483054054,0.0948,0.0089,0.318210971,0.029874237,CLAS phi
2.005,0.37,-0.467329582,0.0724,0.0096,0.213835181,0.028353836,CLAS phi
2.005,0.42,-0.450400656,0.0909,0.0104,0.268475386,0.030716656,CLAS phi
2.005,0.47,-0.43347173,0.0953,0.0107,0.281470895,0.031602713,CLAS phi
2.005,0.53,-0.413157018,0.0942,0.011,0.278222017,0.032488771,CLAS phi
2.005,0.57,-0.399613878,0.0994,0.0112,0.293580345,0.033079476,CLAS phi
2.005,0.62,-0.382684951,0.1063,0.0118,0.313959665,0.03485159,CLAS phi
2.005,0.67,-0.365756025,0.132,0.0136,0.389865247,0.040167935,CLAS phi
2.005,0.72,-0.348827099,0.1341,0.014,0.396067649,0.041349344,CLAS phi
2.005,0.78,-0.328512388,0.1514,0.0165,0.447163625,0.048733156,CLAS phi
2.005,0.82,-0.314969247,0.1727,0.0184,0.510073699,0.054344853,CLAS phi
2.005,0.88,-0.294654535,0.2026,0.0271,0.598384084,0.080040517,CLAS phi
2.005,-0.6,-0.795750751,0.0381,0.0143,0.112529287,0.042235402,CLAS phi
2.005,-0.5,-0.761892898,0.0374,0.007,0.11046182,0.020674672,CLAS phi
2.005,-0.4,-0.728035046,0.049,0.0075,0.144722705,0.022151435,CLAS phi
2.005,-0.3,-0.694177193,0.0465,0.0064,0.137338894,0.018902557,CLAS phi
2.005,-0.2,-0.660319341,0.0533,0.0068,0.157422861,0.020083967,CLAS phi
2.005,-0.1,-0.626461489,0.0512,0.0064,0.15122046,0.018902557,CLAS phi
2.005,0,-0.592603636,0.0691,0.0073,0.20408855,0.02156073,CLAS phi
2.005,0.1,-0.558745784,0.0573,0.0062,0.16923696,0.018311853,CLAS phi
2.005,0.2,-0.524887931,0.0713,0.007,0.210586304,0.020674672,CLAS phi
2.005,0.3,-0.491030079,0.0739,0.0067,0.218265468,0.019788615,CLAS phi
2.015,0.37,-0.473736626,0.0798,0.0112,0.212204564,0.029783097,CLAS phi
2.015,0.42,-0.454934014,0.0981,0.0117,0.260868016,0.031112699,CLAS phi
2.015,0.47,-0.436131403,0.106,0.0118,0.281875736,0.03137862,CLAS phi
2.015,0.53,-0.413568269,0.1019,0.0117,0.270972996,0.031112699,CLAS phi
2.015,0.57,-0.398526179,0.0992,0.0115,0.263793142,0.030580858,CLAS phi
2.015,0.62,-0.379723568,0.1214,0.013,0.322827494,0.034569666,CLAS phi
2.015,0.67,-0.360920956,0.1385,0.0139,0.368299901,0.03696295,CLAS phi
2.015,0.72,-0.342118344,0.1558,0.016,0.414304148,0.042547281,CLAS phi
2.015,0.78,-0.31955521,0.1496,0.0154,0.397817077,0.040951758,CLAS phi
2.015,0.82,-0.304513121,0.1855,0.0179,0.493282539,0.047599771,CLAS phi
2.015,0.88,-0.281949987,0.2026,0.0208,0.538754945,0.055311465,CLAS phi
2.015,0.92,-0.266907898,0.1971,0.0662,0.524129317,0.176039375,CLAS phi
2.015,-0.67,-0.864830948,0.0316,0.028,0.08403088,0.074457742,CLAS phi
2.015,-0.6,-0.838507292,0.0392,0.0088,0.104240838,0.023401005,CLAS phi
2.015,-0.5,-0.800902068,0.0473,0.0084,0.125780399,0.022337323,CLAS phi
2.015,-0.4,-0.763296845,0.051,0.008,0.135619458,0.02127364,CLAS phi
2.015,-0.3,-0.725691622,0.0553,0.0077,0.14705404,0.020475879,CLAS phi
2.015,-0.2,-0.688086398,0.0505,0.0069,0.134289856,0.018348515,CLAS phi
2.015,-0.1,-0.650481175,0.0561,0.007,0.149181404,0.018614435,CLAS phi
2.015,0,-0.612875952,0.0574,0.0068,0.15263837,0.018082594,CLAS phi
2.015,0.1,-0.575270729,0.0631,0.0067,0.167795839,0.017816674,CLAS phi
2.015,0.2,-0.537665505,0.0814,0.0074,0.216459292,0.019678117,CLAS phi
2.015,0.3,-0.500060282,0.0811,0.0074,0.21566153,0.019678117,CLAS phi
2.025,0.37,-0.481092524,0.0798,0.0103,0.194054417,0.025047124,CLAS phi
2.025,0.42,-0.460531281,0.0772,0.0102,0.187731842,0.024803948,CLAS phi
2.025,0.47,-0.439970038,0.094,0.0107,0.228585403,0.026019828,CLAS phi
2.025,0.53,-0.415296546,0.0982,0.0107,0.238798794,0.026019828,CLAS phi
2.025,0.57,-0.398847552,0.1018,0.0112,0.247553128,0.027235708,CLAS phi
2.025,0.62,-0.378286309,0.1245,0.0125,0.302754071,0.030396995,CLAS phi
2.025,0.67,-0.357725066,0.1324,0.0132,0.321964972,0.032099227,CLAS phi
2.025,0.72,-0.337163823,0.137,0.0147,0.333151066,0.035746866,CLAS phi
2.025,0.78,-0.312490332,0.1696,0.0164,0.41242643,0.039880858,CLAS phi
2.025,0.82,-0.296041338,0.1598,0.0163,0.388595185,0.039637682,CLAS phi
2.025,0.88,-0.271367846,0.1905,0.02,0.463250205,0.048635192,CLAS phi
