dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),W,t,source
73.625,5,4.281,-0.035,ballam
55.8,4.1,4.281,-0.0625,ballam
49.15,3.4,4.281,-0.0875,ballam
35.475,2.2,4.281,-0.125,ballam
29.075,2,4.281,-0.175,ballam
19.875,1.5,4.281,-0.225,ballam
15.275,1.2,4.281,0.275,ballam
7.3,0.7,4.281,-0.35,ballam
3.6,0.5,4.281,-0.45,ballam
1.525,0.2,4.281,-0.6,ballam
0.463333,0.09,4.281,-0.85,ballam
0.06,0.05,4.281,-1.25,ballam
45.3,3,73,-0.098,derrick
22.2,2,73,-0.16,derrick
10.9,1.3,73,-0.25,derrick
4.58,0.9,73,-0.34,derrick
113.8,5.4,70,-0.0125,derrick
99.77,5,70,-0.0375,derrick
77.7,4.37,70,-0.0625,derrick
58.04,3.35,70,-0.0875,derrick
35.8,1.68,70,-0.125,derrick
23.66,1.38,70,-0.175,derrick
17.78,1.13,70,-0.225,derrick
11.21,0.82,70,-0.275,derrick
5.833,0.365,70,-0.35,derrick
2.259,0.186,70,-0.45,derrick
0.068,0.011,2.991,-0.083,Eisenburg
0.0481,0.0079,2.991,-0.128,Eisenburg
0.0306,0.005,2.991,-0.1765,Eisenburg
0.0182,0.003,2.991,-0.252,Eisenburg
0.0105,0.0021,2.991,-0.352,Eisenburg
0.00272,0.00067,2.991,-0.551,Eisenburg
50.9,26,55,-0.04875,Aid
31.2,7.16,55,-0.09625,Aid
12.9,3.57,55,-0.14375,Aid
13.2,2.72,55,-0.19125,Aid
5.45,1.77,55,-0.23875,Aid
7.36,1.86,55,-0.28625,Aid
4.35,1.2,55,-0.33375,Aid
0.899,1.04,55,-0.38125,Aid
1.11,0.836,55,-0.42875,Aid
0.803,0.689,55,-0.47625,Aid
98.63333333,3.606666667,1.921,-0.08,Wu
66.92333333,1.283333333,1.921,-0.15,Wu
36.04666667,1.246666667,1.921,-0.25,Wu
14.47333333,0.583333333,1.921,-0.35,Wu
8.57,0.693333333,1.921,-0.45,Wu
7.686666667,0.346666667,1.921,-0.6,Wu
7.173333333,0.383333333,1.921,-0.8,Wu
6.736666667,0.303333333,1.921,-1,Wu
6.06,0.903333333,1.921,-1.225,Wu
87.80666667,4.56,2.0165,-0.075,Wu
70.57666667,1.176666667,2.0165,-0.15,Wu
41.15333333,1.023333333,2.0165,-0.25,Wu
18.64666667,0.59,2.0165,-0.35,Wu
10.07666667,0.343333333,2.0165,-0.45,Wu
5.996666667,0.363333333,2.0165,-0.6,Wu
5.273333333,0.25,2.0165,-0.8,Wu
4.74,0.283333333,2.0165,-1,Wu
4.596666667,0.336666667,2.0165,-1.3,Wu
88.03333333,3.363333333,2.1075,-0.075,Wu
67.99,1.54,2.1075,-0.15,Wu
39.33333333,0.893333333,2.1075,-0.25,Wu
20.34666667,0.673333333,2.1075,-0.35,Wu
11.21333333,0.586666667,2.1075,-0.45,Wu
5.69,0.416666667,2.1075,-0.6,Wu
4.14,0.283333333,2.1075,-0.8,Wu
4.203333333,0.376666667,2.1075,-1,Wu
3.186666667,0.196666667,2.1075,-1.3,Wu
77.09333333,3.54,2.195,-0.075,Wu
59.6,2.48,2.195,-0.15,Wu
35.96666667,1.68,2.195,-0.25,Wu
18.87,1.07,2.195,-0.35,Wu
10.93333333,1.816666667,2.195,-0.45,Wu
4.903333333,0.163333333,2.195,-0.6,Wu
3.21,0.273333333,2.195,-0.8,Wu
3.473333333,0.403333333,2.195,-1,Wu
2.446666667,0.283333333,2.195,-1.3,Wu
65.98666667,3.063333333,2.279,-0.075,Wu
53.09333333,2.03,2.279,-0.15,Wu
32.92666667,1.163333333,2.279,-0.25,Wu
17.31666667,0.69,2.279,-0.35,Wu
10.02,0.293333333,2.279,-0.45,Wu
4.9,0.21,2.279,-0.6,Wu
2.926666667,0.233333333,2.279,-0.8,Wu
2.81,0.23,2.279,-1,Wu
2.153333333,0.223333333,2.279,-1.3,Wu
52.91,6.813333333,2.3595,-0.075,Wu
48.23666667,3.016666667,2.3595,-0.15,Wu
30.25,1.606666667,2.3595,-0.25,Wu
16,0.753333333,2.3595,-0.35,Wu
9.45,0.86,2.3595,-0.45,Wu
4.993333333,0.223333333,2.3595,-0.6,Wu
2.61,0.23,2.3595,-0.8,Wu
2.546666667,0.27,2.3595,-1,Wu
2.186666667,0.29,2.3595,-1.3,Wu
5.7,0.4,94,-0.35,breitweg00
2.99,0.21,94,-0.448,breitweg00
1.24,0.15,94,-0.546,breitweg00
0.79,0.08,94,-0.645,breitweg00
0.5,0.06,94,-0.744,breitweg00
0.23,0.04,94,-0.847,breitweg00
0.183,0.033,94,-0.945,breitweg00
0.053,0.012,94,-1.085,breitweg00
0.019,0.006,94,-1.314,breitweg00
0.006,0.004,94,-1.617,breitweg00
115.54,4.45,75,-0.006,breitweg98
87.7,2.84,75,-0.019,breitweg98
76.95,2.32,75,-0.035,breitweg98
59.23,1.65,75,-0.057,breitweg98
45.19,1.23,75,-0.085,breitweg98
34.15,1.07,75,-0.117,breitweg98
21.21,0.63,75,-0.161,breitweg98
10.27,0.3,75,-0.232,breitweg98
2.87,0.09,75,-0.371,breitweg98
