dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),W,Q2,t,s_tot,source
1.25,0.22,2.61,2.89,-0.266389872,22.46061237,cohen
0.68,0.1,2.61,2.89,-0.366389872,22.46061237,cohen
0.41,0.11,2.61,2.89,-0.466389872,22.46061237,cohen
0.44,0.09,2.61,2.89,-0.566389872,22.46061237,cohen
0.175,0.045,2.61,2.89,-0.666389872,22.46061237,cohen
0.045,0.04,2.61,2.89,-0.766389872,22.46061237,cohen
0.125,0.04,2.61,2.89,-0.866389872,22.46061237,cohen
0.077,0.027,2.61,2.89,-0.966389872,22.46061237,cohen
0.053,0.037,2.61,2.89,-1.066389872,22.46061237,cohen
0.037,0.028,2.61,2.89,-1.216389872,22.46061237,cohen
0.028,0.02,2.61,2.89,-1.416389872,22.46061237,cohen
0.032,0.021,2.61,2.89,-1.616389872,22.46061237,cohen
3.5,0.4,2.64,1.42,-0.135496601,22.46061237,cohen
2.15,0.2,2.64,1.42,-0.235496601,22.46061237,cohen
1.15,0.18,2.64,1.42,-0.335496601,22.46061237,cohen
1.25,0.22,2.64,1.42,-0.435496601,22.46061237,cohen
0.31,0.1,2.64,1.42,-0.535496601,22.46061237,cohen
0.14,0.21,2.64,1.42,-0.635496601,22.46061237,cohen
0.37,0.1,2.64,1.42,-0.735496601,22.46061237,cohen
0.14,0.08,2.64,1.42,-0.835496601,22.46061237,cohen
0.08,0.062,2.64,1.42,-0.985496601,22.46061237,cohen
0.048,0.028,2.64,1.42,-1.185496601,22.46061237,cohen
0.038,0.055,2.64,1.42,-1.385496601,22.46061237,cohen
